EmployeeID,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,año_x,Age,BusinessTravel,Department,DistanceFromHome,Education,EducationField,Gender,JobLevel,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,año_y,JobInvolvement,PerformanceRating,año_x,Unnamed: 0,Attrition,retirementType,resignationReason,año_y
1,3.0,4.0,2.0,2015,51,Travel_Rarely,Sales,6,2,Life Sciences,Female,1,Healthcare Representative,Married,131160,1.0,11,0,1.0,6,1,0,0,2015,3,3,2015,,,,,
2,3.0,2.0,4.0,2015,31,Travel_Frequently,Research & Development,10,1,Life Sciences,Female,1,Research Scientist,Single,41890,0.0,23,1,6.0,3,5,1,4,2015,2,4,2015,0.0,Yes,Resignation,Others,2016
3,2.0,2.0,1.0,2015,32,Travel_Frequently,Research & Development,17,4,Other,Male,4,Sales Executive,Married,193280,1.0,15,3,5.0,2,5,0,3,2015,3,3,2015,,,,,
4,4.0,4.0,3.0,2015,38,Non-Travel,Research & Development,2,5,Life Sciences,Male,3,Human Resources,Married,83210,3.0,11,3,13.0,5,8,7,5,2015,2,3,2015,,,,,
5,4.0,1.0,3.0,2015,32,Travel_Rarely,Research & Development,10,1,Medical,Male,1,Sales Executive,Single,23420,4.0,12,2,9.0,2,6,0,4,2015,3,3,2015,,,,,
6,3.0,2.0,2.0,2015,46,Travel_Rarely,Research & Development,8,3,Life Sciences,Female,4,Research Director,Married,40710,3.0,13,0,28.0,5,7,7,7,2015,3,3,2015,,,,,
7,1.0,3.0,1.0,2015,28,Travel_Rarely,Research & Development,11,2,Medical,Male,2,Sales Executive,Single,58130,2.0,20,1,5.0,2,0,0,0,2015,3,4,2015,1.0,Yes,Resignation,Stress,2016
8,1.0,2.0,3.0,2015,29,Travel_Rarely,Research & Development,18,3,Life Sciences,Male,2,Sales Executive,Married,31430,2.0,22,3,10.0,2,0,0,0,2015,3,4,2015,,,,,
9,2.0,4.0,3.0,2015,31,Travel_Rarely,Research & Development,1,3,Life Sciences,Male,3,Laboratory Technician,Married,20440,0.0,21,0,10.0,2,9,7,8,2015,3,4,2015,,,,,
10,2.0,1.0,3.0,2015,25,Non-Travel,Research & Development,7,4,Medical,Female,4,Laboratory Technician,Divorced,134640,1.0,13,1,6.0,2,6,1,5,2015,3,3,2015,,,,,
